trip_id,arrival_time,departure_time,pickup_type,drop_off_type,stop_id,stop_sequence
L01_21_0,12:14:00,12:14:00,1,,ECSA:8,8
L01_21_0,12:15:00,12:15:00,1,,ECSA:9,9
L01_21_0,12:16:00,12:16:00,1,,118,10
L01_21_0,12:17:00,12:17:00,,,ECSA:11,11
L01_21_0,12:18:00,12:18:00,,,VA:1,12
L01_22_0,12:30:00,12:30:00,,,ECSA:1,1
L01_22_0,12:31:00,12:31:00,,,ECSA:2,2
L01_22_0,12:34:00,12:34:00,,,ECSA:3,3
L01_22_0,12:35:00,12:35:00,,,ECSA:4,4
L01_22_0,12:40:00,12:40:00,,,ECSA:5,5
L01_22_0,12:41:00,12:41:00,,,ECSA:6,6
L01_22_0,12:43:00,12:43:00,,,ECSA:7,7
L01_22_0,12:44:00,12:44:00,1,,ECSA:8,8
L01_22_0,12:45:00,12:45:00,1,,ECSA:9,9
L01_22_0,12:46:00,12:46:00,1,,118,10
L01_22_0,12:47:00,12:47:00,,,ECSA:11,11
L01_22_0,12:48:00,12:48:00,,,VA:1,12
L01_23_0,13:00:00,13:00:00,,,ECSA:1,1
L01_23_0,13:01:00,13:01:00,,,ECSA:2,2
L01_23_0,13:04:00,13:04:00,,,ECSA:3,3
L01_23_0,13:05:00,13:05:00,,,ECSA:4,4
L01_23_0,13:10:00,13:10:00,,,ECSA:5,5
L01_23_0,13:11:00,13:11:00,,,ECSA:6,6
L01_23_0,13:13:00,13:13:00,,,ECSA:7,7
L01_23_0,13:14:00,13:14:00,1,,ECSA:8,8
L01_23_0,13:15:00,13:15:00,1,,ECSA:9,9
L01_23_0,13:16:00,13:16:00,1,,118,10
L01_23_0,13:17:00,13:17:00,,,ECSA:11,11
L01_23_0,13:18:00,13:18:00,,,VA:1,12
L01_24_0,13:30:00,13:30:00,,,ECSA:1,1
L01_24_0,13:31:00,13:31:00,,,ECSA:2,2
L01_24_0,13:34:00,13:34:00,,,ECSA:3,3
L01_24_0,13:35:00,13:35:00,,,ECSA:4,4
L01_24_0,13:40:00,13:40:00,,,ECSA:5,5
L01_24_0,13:41:00,13:41:00,,,ECSA:6,6
L01_24_0,13:43:00,13:43:00,,,ECSA:7,7
L01_24_0,13:44:00,13:44:00,1,,ECSA:8,8
L01_24_0,13:45:00,13:45:00,1,,ECSA:9,9
L01_24_0,13:46:00,13:46:00,1,,118,10
L01_24_0,13:47:00,13:47:00,,,ECSA:11,11
L01_24_0,13:48:00,13:48:00,,,VA:1,12
L01_25_0,13:45:00,13:45:00,,,ECSA:1,1
L01_25_0,13:46:00,13:46:00,,,ECSA:2,2
L01_25_0,13:49:00,13:49:00,,,ECSA:3,3
L01_25_0,13:50:00,13:50:00,,,ECSA:4,4
L01_25_0,13:55:00,13:55:00,,,ECSA:5,5
L01_25_0,13:56:00,13:56:00,,,ECSA:6,6
L01_25_0,13:58:00,13:58:00,,,ECSA:7,7
L01_25_0,13:59:00,13:59:00,1,,ECSA:8,8
L01_25_0,14:00:00,14:00:00,1,,ECSA:9,9
L01_25_0,14:01:00,14:01:00,1,,118,10
L01_25_0,14:02:00,14:02:00,,,ECSA:11,11
L01_25_0,14:03:00,14:03:00,,,VA:1,12
L01_26_0,14:00:00,14:00:00,,,ECSA:1,1
L01_26_0,14:01:00,14:01:00,,,ECSA:2,2
L01_26_0,14:04:00,14:04:00,,,ECSA:3,3
L01_26_0,14:05:00,14:05:00,,,ECSA:4,4
L01_26_0,14:10:00,14:10:00,,,ECSA:5,5
L01_26_0,14:11:00,14:11:00,,,ECSA:6,6
L01_26_0,14:13:00,14:13:00,,,ECSA:7,7
